Step,Sensor1,Sensor3,Sensor4,Sensor5,Sensor7,Sensor9,Sensor10,Sensor12
582,324,318,470,739,642,712,503,571
583,316,321,460,726,618,705,490,567
584,325,333,466,749,619,715,489,569
585,317,319,458,729,620,703,491,566
586,317,323,460,743,627,716,497,568
587,315,321,456,727,617,707,485,567
588,327,328,464,754,626,717,494,571
589,318,320,459,728,617,705,488,566
590,318,327,458,740,618,712,490,565
591,317,321,461,731,620,705,487,569
592,325,335,476,763,632,721,495,568
593,318,317,462,724,619,710,489,571
594,322,316,459,733,620,708,489,563
595,318,319,458,729,622,710,487,567
596,320,330,463,747,630,715,492,569
597,315,318,463,730,618,710,492,567
598,322,324,459,733,625,711,495,572
599,320,321,461,736,621,709,488,569
600,321,333,468,748,641,715,498,574
601,321,330,457,733,623,714,490,564
602,324,333,464,752,622,716,489,570
603,319,330,460,732,619,704,487,569
604,321,335,460,755,635,717,502,571
605,323,324,457,734,619,708,486,567
606,321,337,464,760,632,723,497,571
607,318,330,458,734,621,713,489,568
608,325,343,472,772,652,724,515,574
609,320,325,457,733,613,708,489,570
610,320,333,463,746,637,717,501,574
611,320,327,458,736,618,708,490,565
612,322,335,466,764,636,726,499,578
613,318,323,457,731,616,714,485,566
614,327,331,469,753,631,716,491,567
615,319,326,458,734,623,709,491,566
616,322,332,469,752,624,716,489,567
617,322,325,455,733,618,711,491,570
618,328,344,468,771,627,715,497,569
619,323,326,461,736,619,712,489,565
620,318,336,460,751,625,717,490,568
621,321,324,461,737,615,710,492,564
622,327,342,465,761,625,720,491,573
623,322,328,457,734,619,711,490,564
624,321,331,468,751,629,715,493,568
625,320,322,459,730,616,709,487,569
626,327,337,471,764,629,718,496,570
627,317,323,459,735,617,713,486,568
628,317,334,465,753,631,715,497,570
629,322,321,456,737,614,711,484,566
630,323,340,462,760,632,718,501,574
631,320,327,462,736,619,712,486,572
632,333,333,467,762,641,719,500,572
633,319,325,462,733,617,708,492,568
634,322,336,467,754,626,718,494,572
635,315,326,458,736,620,710,488,567
636,317,327,462,751,626,713,489,566
637,319,321,457,733,615,713,486,567
638,325,338,467,761,632,716,501,571
639,319,328,456,734,619,710,487,564
640,324,336,461,748,623,714,495,571
641,319,325,461,738,616,711,484,566
642,326,339,466,768,635,718,496,572
643,321,331,458,736,619,708,492,568
644,323,332,464,755,625,716,495,574
645,320,324,456,734,618,709,489,566
646,323,337,463,752,619,712,490,568
647,316,324,460,734,618,712,493,569
648,328,336,470,770,637,719,501,577
649,321,327,455,737,620,706,489,567
650,324,326,460,740,634,719,501,568
651,319,322,459,738,616,711,484,565
652,325,332,464,749,633,718,500,574
653,319,329,456,735,619,709,492,566
654,326,332,458,747,616,714,490,569
655,319,330,455,731,616,712,488,565
656,319,333,458,750,623,711,489,571
657,317,325,463,735,619,712,492,569
658,325,331,472,763,636,718,503,572
659,314,324,458,735,616,708,489,570
660,324,337,472,762,628,715,491,569
661,319,325,455,733,618,712,485,570
662,324,344,467,769,624,717,491,573
663,316,331,457,734,618,710,490,566
664,324,337,460,758,616,721,488,572
665,319,324,459,732,617,714,484,566
666,327,328,467,749,637,720,501,575
667,320,328,458,734,615,711,487,567
668,322,336,464,753,634,716,500,574
669,317,327,455,738,618,713,483,567
670,331,342,474,772,633,723,495,575
671,322,326,461,733,614,710,484,568
672,311,335,456,742,620,715,493,565
673,320,327,455,739,619,707,485,567
674,327,337,473,766,644,721,508,577
675,319,323,460,731,619,709,489,566
676,322,326,461,743,626,713,500,563
677,317,326,458,734,615,706,488,571
678,323,339,463,753,627,712,491,571
679,316,322,455,734,616,709,491,569
680,318,328,462,748,617,713,486,568
681,320,328,460,733,622,707,488,568
682,315,326,460,739,619,708,495,567
683,320,328,456,732,616,712,489,569
684,324,333,467,743,626,712,495,569
685,319,333,458,733,617,711,491,570
686,323,335,458,757,619,717,492,574
687,322,322,456,736,616,710,486,565
688,323,338,461,753,630,716,494,571
689,319,327,464,736,617,713,489,569
690,322,338,466,757,628,718,495,573
691,318,328,456,730,618,708,492,569
692,321,335,468,759,630,708,494,565
693,323,325,457,736,618,712,487,568
694,330,335,474,758,649,724,512,575
695,319,328,459,734,619,714,486,570
696,317,330,457,743,627,710,495,569
697,318,324,458,731,622,710,490,566
698,323,334,462,750,636,721,502,573
699,318,326,458,736,620,710,487,567
700,328,340,467,761,639,724,508,577
701,317,327,457,732,621,710,489,566
702,326,335,469,764,640,718,507,573
703,316,327,459,731,624,709,490,568
704,320,332,466,753,639,721,506,577
705,322,326,462,734,617,711,493,568
706,325,340,461,757,631,717,504,569
707,320,325,460,730,620,713,488,563
708,323,332,467,755,642,718,508,570
709,313,325,462,737,621,712,489,565
710,317,336,454,748,619,717,495,572
711,314,333,454,740,619,717,494,571
712,321,339,462,752,630,721,506,577
713,318,332,449,738,615,715,496,570
714,319,338,458,759,623,720,498,573
715,317,333,455,738,620,716,492,571
716,324,347,462,764,631,724,509,573
717,317,327,455,738,622,715,496,568
718,319,348,459,765,622,720,496,572
719,318,333,455,737,620,715,490,572
720,317,335,453,743,612,714,490,568
721,317,332,450,734,619,711,487,572
722,319,341,463,754,621,714,494,568
723,315,328,454,740,612,714,488,568
724,315,331,453,737,620,717,498,576
