Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
59,1183811,5783,1178028,2161467,5783,2155684,1586808,5783,1581025,2697148,5783,2691365,2873114,5783,2867331,588413,5783,582630,806439,5783,800656,1431754,5783,1425971,487848,5783,482065,1431754,5783,1425971,1985870,5783,1980087,244089,5783,238306
60,1369821,5781,1364040,2395609,5781,2389827,1828231,5781,1822450,2822446,5781,2816664,3312585,5781,3306803,630579,5781,624798,717995,5781,712213,1247914,5781,1242133,500680,5781,494898,1247914,5781,1242133,1868981,5781,1863199,5781,5781,0
61,1176533,5732,1170800,2139579,5732,2133846,1568164,5732,1562431,2608432,5732,2602699,2841901,5732,2836168,578598,5732,572865,783537,5732,777804,1217962,5732,1212229,479396,5732,473663,1217962,5732,1212229,1824076,5732,1818344,5732,5732,0
62,1298352,5718,1292633,2334217,5718,2328498,1804357,5718,1798638,2556209,5718,2550490,3151862,5718,3146143,657774,5718,652056,714060,5718,708341,1150198,5718,1144479,527850,5718,522131,1150198,5718,1144479,1722437,5718,1716718,5718,5718,0
63,1174759,5694,1169064,2116799,5694,2111104,1553747,5694,1548053,2503542,5694,2497848,2831820,5694,2826125,565573,5694,559879,732378,5694,726683,1141704,5694,1136009,463496,5694,457802,1141704,5694,1136009,1709708,5694,1704013,5694,5694,0
64,1355634,5722,1349911,2453565,5722,2447842,1918046,5722,1912323,2544110,5722,2538387,3350831,5722,3345108,707709,5722,701986,657293,5722,651570,1108609,5722,1102886,554926,5722,549203,1108609,5722,1102886,1660052,5722,1654329,5722,5722,0
65,1163765,5651,1158114,2079591,5651,2073940,1520247,5651,1514596,2390364,5651,2384713,2781034,5651,2775383,549228,5651,543577,706713,5651,701061,1072439,5651,1066788,445220,5651,439569,1072439,5651,1066788,1605833,5651,1600182,5651,5651,0
66,1253743,5641,1248101,2191099,5641,2185457,1661791,5641,1656149,2348067,5641,2342425,2972083,5641,2966441,594621,5641,588980,675333,5641,669692,1024109,5641,1018467,447430,5641,441788,1024109,5641,1018467,1533342,5641,1527701,5641,5641,0
67,1155325,5616,1149708,2048094,5616,2042478,1492006,5616,1486389,2305752,5616,2300136,2738514,5616,2732898,535051,5616,529434,688992,5616,683376,1021009,5616,1015393,428923,5616,423307,1021009,5616,1015393,1528706,5616,1523090,5616,5616,0
68,1380597,5633,1374963,2355234,5633,2349600,1789592,5633,1783958,2411481,5633,2405848,3258263,5633,3252630,606648,5633,601015,620987,5633,615354,980300,5633,974667,455446,5633,449813,980300,5633,974667,1467634,5633,1462000,5633,5633,0
69,1148133,5586,1142547,2023980,5586,2018394,1469943,5586,1464357,2229452,5586,2223866,2705008,5586,2699422,524337,5586,518751,671965,5586,666379,974280,5586,968694,417192,5586,411606,974280,5586,968694,1458627,5586,1453041,5586,5586,0
70,1232009,5624,1226385,2136771,5624,2131147,1553248,5624,1547624,2430773,5624,2425149,2977108,5624,2971483,520478,5624,514854,580547,5624,574922,1002487,5624,996863,416381,5624,410757,1002487,5624,996863,1500918,5624,1495294,5624,5624,0
71,1147214,5573,1141640,2029370,5573,2023796,1472381,5573,1466807,2217451,5573,2211878,2709315,5573,2703742,528578,5573,523005,669537,5573,663963,967140,5573,961566,420323,5573,414749,967140,5573,961566,1447923,5573,1442349,5573,5573,0
72,1346343,5606,1340736,2323778,5606,2318172,1823112,5606,1817506,2343246,5606,2337639,3226705,5606,3221098,630810,5606,625204,578853,5606,573247,967237,5606,961631,474642,5606,469036,967237,5606,961631,1448052,5606,1442446,5606,5606,0
73,1147214,5573,1141640,2029370,5573,2023796,1472381,5573,1466807,2217451,5573,2211878,2709315,5573,2703742,528578,5573,523005,669537,5573,663963,967140,5573,961566,420323,5573,414749,967140,5573,961566,1447923,5573,1442349,5573,5573,0
74,1365832,5645,1360187,2403300,5645,2397655,1792474,5645,1786829,2473650,5645,2468005,3336935,5645,3331290,622532,5645,616887,578293,5645,572648,989762,5645,984117,490480,5645,484834,989762,5645,984117,1481821,5645,1476176,5645,5645,0
75,1147214,5573,1141640,2029370,5573,2023796,1472381,5573,1466807,2217451,5573,2211878,2709315,5573,2703742,528578,5573,523005,669537,5573,663963,967140,5573,961566,420323,5573,414749,967140,5573,961566,1447923,5573,1442349,5573,5573,0
76,1273461,5610,1267850,2208754,5610,2203143,1658104,5610,1652493,2360609,5610,2354998,3026108,5610,3020497,576848,5610,571237,636476,5610,630865,996748,5610,991137,441192,5610,435581,996748,5610,991137,1492317,5610,1486706,5610,5610,0
77,1147214,5573,1141640,2029370,5573,2023796,1472381,5573,1466807,2217451,5573,2211878,2709315,5573,2703742,528578,5573,523005,669537,5573,663963,967140,5573,961566,420323,5573,414749,967140,5573,961566,1447923,5573,1442349,5573,5573,0
78,1347240,5603,1341637,2340836,5603,2335232,1754875,5603,1749271,2367274,5603,2361670,3227491,5603,3221887,603927,5603,598323,594013,5603,588409,950789,5603,945185,470475,5603,464871,950789,5603,945185,1423381,5603,1417777,5603,5603,0
79,1137233,5549,1131683,1992583,5549,1987034,1436003,5549,1430453,2155221,5549,2149671,2659902,5549,2654353,511723,5549,506173,661718,5549,656168,930429,5549,924880,399352,5549,393802,930429,5549,924880,1392870,5549,1387320,5549,5549,0
80,1334774,5564,1329210,2233623,5564,2228058,1716630,5564,1711066,2233611,5564,2228047,3099323,5564,3093758,570575,5564,565010,583856,5564,578292,896065,5564,890500,414971,5564,409406,896065,5564,890500,1340679,5564,1335114,6519,5564,954
81,1128721,5520,1123200,1965200,5520,1959679,1409309,5520,1403789,2072378,5520,2066857,2621190,5520,2615669,499482,5520,493961,644543,5520,639022,880317,5520,874796,385598,5520,380078,880317,5520,874796,1317171,5520,1311651,6336,5520,815
82,1428262,5648,1422614,2404455,5648,2398806,1857055,5648,1851406,2494275,5648,2488627,3408084,5648,3402435,610865,5648,605216,553809,5648,548160,986412,5648,980763,448293,5648,442645,986412,5648,980763,1476793,5648,1471145,5648,5648,0
83,1129160,5523,1123637,1966498,5523,1960974,1410630,5523,1405107,2074149,5523,2068626,2623019,5523,2617496,500096,5523,494573,644718,5523,639195,881258,5523,875734,386211,5523,380688,881258,5523,875734,1318648,5523,1313125,6238,5523,715
84,1399248,5606,1393642,2424651,5606,2419045,1854212,5606,1848606,2271996,5606,2266390,3371931,5606,3366325,645267,5606,639661,537177,5606,531571,872668,5606,867061,480187,5606,474581,872668,5606,867061,1305466,5606,1299859,6705,5606,1099
85,1125098,5512,1119585,1953301,5512,1947789,1393215,5512,1387702,1997742,5512,1992229,2599969,5512,2594457,493354,5512,487842,630418,5512,624906,833923,5512,828411,378360,5512,372848,833923,5512,828411,1246938,5512,1241426,7297,5512,1785
86,1280958,5540,1275418,2133588,5540,2128047,1621077,5540,1615536,2194201,5540,2188660,2977356,5540,2971815,536776,5540,531235,564944,5540,559403,884128,5540,878588,379882,5540,374342,884128,5540,878588,1318613,5540,1313073,12754,5540,7213
87,1128357,5525,1122832,1961542,5525,1956017,1405273,5525,1399748,2083197,5525,2077672,2617045,5525,2611520,497580,5525,492055,649395,5525,643870,887536,5525,882011,382438,5525,376913,887536,5525,882011,1327978,5525,1322453,6369,5525,844
88,1414478,5635,1408843,2403616,5635,2397981,1820613,5635,1814978,2465432,5635,2459797,3416248,5635,3410613,605463,5635,599827,522732,5635,517097,949705,5635,944070,443295,5635,437660,949705,5635,944070,1421430,5635,1415795,6101,5635,465
89,1129243,5529,1123713,1964156,5529,1958626,1407937,5529,1402407,2086788,5529,2081258,2620734,5529,2615204,498819,5529,493289,649752,5529,644222,889447,5529,883917,383671,5529,378141,889447,5529,883917,1330976,5529,1325446,6174,5529,644
90,1584009,5700,1578308,2745415,5700,2739714,2135716,5700,2130015,2626062,5700,2620361,3886697,5700,3880997,727921,5700,722221,526288,5700,520587,994723,5700,989022,552965,5700,547264,994723,5700,989022,1489226,5700,1483525,5713,5700,12
91,1130148,5534,1124613,1966827,5534,1961292,1410656,5534,1405122,2090455,5534,2084920,2624502,5534,2618967,500083,5534,494549,650118,5534,644584,891418,5534,885883,384931,5534,379396,891418,5534,885883,1334047,5534,1328512,6002,5534,467
92,1370926,5633,1365292,2373970,5633,2368336,1823792,5633,1818158,2346276,5633,2340642,3283190,5633,3277556,635755,5633,630121,590390,5633,584756,948385,5633,942751,475794,5633,470160,948385,5633,942751,1419761,5633,1414127,5633,5633,0
93,1130611,5537,1125073,1968191,5537,1962653,1412045,5537,1406507,2092327,5537,2086789,2626426,5537,2620888,500729,5537,495192,650306,5537,644769,892431,5537,886893,385574,5537,380036,892431,5537,886893,1335618,5537,1330081,5926,5537,388
94,1409284,5649,1403634,2471200,5649,2465550,1894113,5649,1888463,2370825,5649,2365175,3404293,5649,3398643,672733,5649,667084,595764,5649,590114,948958,5649,943309,507597,5649,501948,948958,5649,943309,1420613,5649,1414963,5649,5649,0
95,1128746,5527,1123219,1962688,5527,1957160,1406441,5527,1400914,2084772,5527,2079244,2618662,5527,2613135,498123,5527,492596,649551,5527,644024,888371,5527,882844,382978,5527,377451,888371,5527,882844,1329292,5527,1323764,6280,5527,753
96,1319033,5620,1313412,2329396,5620,2323776,1795040,5620,1789420,2363534,5620,2357913,3238396,5620,3232775,634687,5620,629067,551861,5620,546240,966183,5620,960563,489697,5620,484076,966183,5620,960563,1446465,5620,1440844,5620,5620,0
97,1128746,5527,1123219,1962688,5527,1957160,1406441,5527,1400914,2084772,5527,2079244,2618662,5527,2613135,498123,5527,492596,649551,5527,644024,888371,5527,882844,382978,5527,377451,888371,5527,882844,1329292,5527,1323764,6280,5527,753
98,1433093,5644,1427449,2448407,5644,2442762,1887508,5644,1881864,2406073,5644,2400428,3460025,5644,3454380,633340,5644,627696,515484,5644,509840,922886,5644,917241,473008,5644,467364,922886,5644,917241,1381506,5644,1375862,5644,5644,0
99,1123288,5502,1117786,1947931,5502,1942429,1387699,5502,1382197,1990491,5502,1984989,2592356,5502,2586854,490790,5502,485288,629776,5502,624274,830274,5502,824772,375811,5502,370309,830274,5502,824772,1240999,5502,1235497,7993,5502,2491
100,1268027,5574,1262452,2193579,5574,2188005,1621686,5574,1616112,2279937,5574,2274363,3011689,5574,3006115,553287,5574,547713,593796,5574,588222,926320,5574,920745,434366,5574,428792,926320,5574,920745,1386693,5574,1381118,5574,5574,0
101,1124831,5505,1119325,1951135,5505,1945629,1394647,5505,1389141,2068878,5505,2063373,2602335,5505,2596830,492642,5505,487137,647990,5505,642485,880094,5505,874588,377525,5505,372020,880094,5505,874588,1316111,5505,1310606,7420,5505,1915
102,1371899,5617,1366282,2348645,5617,2343027,1831063,5617,1825445,2316434,5617,2310817,3288405,5617,3282788,626453,5617,620835,543987,5617,538369,922130,5617,916512,461069,5617,455451,922130,5617,916512,1380386,5617,1374769,5617,5617,0
103,1122823,5499,1117324,1946551,5499,1941052,1386280,5499,1380781,1988626,5499,1983127,2590398,5499,2584898,490131,5499,484631,629612,5499,624112,829348,5499,823849,375156,5499,369657,829348,5499,823849,1239478,5499,1233978,8191,5499,2692
104,1309104,5612,1303492,2223443,5612,2217831,1651169,5612,1645557,2400820,5612,2395208,3120229,5612,3114617,550588,5612,544976,573077,5612,567465,965069,5612,959457,406913,5612,401301,965069,5612,959457,1444797,5612,1439185,5612,5612,0
