Step,Light1_Obj,Light1_Pow,Light1_Pen,Light2_Obj,Light2_Pow,Light2_Pen,Light3_Obj,Light3_Pow,Light3_Pen,Light4_Obj,Light4_Pow,Light4_Pen,Light5_Obj,Light5_Pow,Light5_Pen,Light6_Obj,Light6_Pow,Light6_Pen,Light7_Obj,Light7_Pow,Light7_Pen,Light8_Obj,Light8_Pow,Light8_Pen,Light9_Obj,Light9_Pow,Light9_Pen,Light10_Obj,Light10_Pow,Light10_Pen,Light11_Obj,Light11_Pow,Light11_Pen,Light12_Obj,Light12_Pow,Light12_Pen
82,178414,7259,171155,92174,7259,84915,43303,7259,36043,198592,7259,191333,97599,7259,90339,40910,7259,33651,49924,7259,42665,43017,7259,35758,36109,7259,28850,34911,7259,27652,33578,7259,26319,36480,7259,29221
83,176752,7290,169462,91386,7290,84096,43029,7290,35738,196184,7290,188893,96599,7290,89309,40637,7290,33346,49484,7290,42193,42836,7290,35545,36324,7290,29034,34713,7290,27423,33618,7290,26327,36967,7290,29676
84,186891,7252,179639,96514,7252,89262,45297,7252,38045,208209,7252,200957,102325,7252,95073,42845,7252,35593,52415,7252,45162,45617,7252,38365,39250,7252,31998,36729,7252,29477,35953,7252,28700,40514,7252,33261
85,186930,7290,179639,96552,7290,89262,45336,7290,38045,208247,7290,200957,102364,7290,95073,42883,7290,35593,52453,7290,45162,45656,7290,38365,39288,7290,31998,36767,7290,29477,35991,7290,28700,40552,7290,33261
86,193547,7266,186281,100786,7266,93520,47851,7266,40585,217610,7266,210344,108122,7266,100856,45600,7266,38334,77071,7266,69805,56736,7266,49470,43138,7266,35872,53001,7266,45735,44871,7266,37605,43672,7266,36405
87,193571,7290,186281,100810,7290,93520,47876,7290,40585,217635,7290,210344,108146,7290,100856,45624,7290,38334,77096,7290,69805,56760,7290,49470,43162,7290,35872,53025,7290,45735,44896,7290,37605,43696,7290,36405
88,162440,7244,155196,84306,7244,77062,40036,7244,32792,180564,7244,173320,89206,7244,81962,37880,7244,30636,46065,7244,38821,40066,7244,32822,34298,7244,27054,32520,7244,25276,31659,7244,24415,35104,7244,27860
89,164103,7244,156859,85142,7244,77898,40386,7244,33142,182955,7244,175711,90266,7244,83022,38242,7244,30998,46610,7244,39366,40469,7244,33225,34529,7244,27285,32849,7244,25605,31907,7244,24663,35281,7244,28037
90,164113,7254,156859,85152,7254,77898,40397,7254,33142,182965,7254,175711,90277,7254,83022,38252,7254,30998,46620,7254,39366,40480,7254,33225,34540,7254,27285,32860,7254,25605,31918,7254,24663,35292,7254,28037
91,162440,7244,155196,84306,7244,77062,40036,7244,32792,180564,7244,173320,89206,7244,81962,37880,7244,30636,46065,7244,38821,40066,7244,32822,34298,7244,27054,32520,7244,25276,31659,7244,24415,35104,7244,27860
92,147350,7197,140153,76804,7197,69607,36801,7197,29604,164739,7197,157541,81555,7197,74357,34918,7197,27721,42489,7197,35292,36907,7197,29710,31455,7197,24257,30119,7197,22921,29181,7197,21984,32030,7197,24832
93,147105,7197,139908,76641,7197,69444,36723,7197,29526,163246,7197,156049,80984,7197,73787,34760,7197,27562,42089,7197,34892,36631,7197,29434,31322,7197,24125,29890,7197,22693,29034,7197,21836,31926,7197,24728
94,154868,7218,147650,80515,7218,73297,38350,7218,31132,173247,7218,166029,85520,7218,78302,36357,7218,29139,44323,7218,37105,38312,7218,31094,32322,7218,25104,31259,7218,24041,30099,7218,22881,32691,7218,25473
95,151622,7197,144425,78872,7197,71675,37649,7197,30452,168588,7197,161390,83444,7197,76246,35635,7197,28438,43245,7197,36048,37508,7197,30311,31852,7197,24654,30601,7197,23403,29596,7197,22399,32327,7197,25130
96,119112,7106,112006,63410,7106,56304,31942,7106,24835,135634,7106,128527,68296,7106,61189,30621,7106,23514,37689,7106,30583,34304,7106,27198,32472,7106,25365,28120,7106,21014,28886,7106,21779,35762,7106,28655
97,114052,7092,106959,60962,7092,53870,30967,7092,23874,130273,7092,123180,65817,7092,58724,29758,7092,22666,36653,7092,29561,33652,7092,26560,32393,7092,25300,27530,7092,20438,28598,7092,21506,36058,7092,28966
98,113206,7093,106113,61010,7093,53917,31988,7093,24894,129917,7093,122824,65949,7093,58856,30468,7093,23375,36442,7093,29349,34078,7093,26985,33786,7093,26693,27066,7093,19972,29093,7093,21999,38154,7093,31061
99,114359,7153,107206,61587,7153,54434,32256,7153,25103,130614,7153,123461,66365,7153,59212,30679,7153,23526,36598,7153,29445,34225,7153,27072,33917,7153,26764,27194,7153,20041,29224,7153,22071,38266,7153,31113
100,130987,7204,123783,68832,7204,61628,33574,7204,26370,149790,7204,142586,74117,7204,66913,32053,7204,24848,39249,7204,32045,33878,7204,26674,28459,7204,21255,27878,7204,20674,26666,7204,19462,28645,7204,21441
101,129775,7215,122560,68214,7215,60998,33240,7215,26024,149061,7215,141845,73661,7215,66446,31798,7215,24582,39073,7215,31857,33616,7215,26401,28033,7215,20817,27717,7215,20502,26372,7215,19156,28063,7215,20847
102,136331,7183,129148,71304,7183,64121,34349,7183,27165,155449,7183,148266,76616,7183,69433,32757,7183,25574,40204,7183,33020,34280,7183,27096,27973,7183,20790,28331,7183,21147,26602,7183,19418,27500,7183,20317
103,137552,7167,130384,71887,7167,64719,34610,7167,27442,156156,7167,148988,77014,7167,69846,32937,7167,25769,40298,7167,33130,34366,7167,27199,28043,7167,20875,28395,7167,21227,26671,7167,19503,27546,7167,20379
104,129332,7167,122164,67935,7167,60768,33204,7167,26037,147422,7167,140254,72925,7167,65758,31563,7167,24396,38416,7167,31248,32821,7167,25654,26871,7167,19704,27188,7167,20020,25562,7167,18394,26412,7167,19244
